"column","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62"
"12111",105,137,156,178,216,236,237.25,242,252,268,276,286,287,293,304,321,350,386,420,454,470,497,517,530.25,537,549,561,577.25,594.75,593,593,595,598,596,594,601,603,592,593.25,617,667,759,857,967.25,1059,1196.5,1367,1487.25,1575.5,1636,1567,1651,1656,1651,1647,1639,1616,1556,1576,1582,1603.5,1609
"12221",108.75,133.75,154,186,217,233,235.75,237,246,256,265,275,278,285,295,315,341,378,420,451,473,498,510,515,521,522.75,529,542.5,551,551,559,556,561.75,565,557,560,563,548,545,574,626,718,836,936,1031,1195.75,1372,1517,1614,1688,1620,1713,1712,1725,1714,1707,1684,1641,1658,1681,1695,1713
"11212",111,143,164,186,224,245,251,255,262.5,277,284,293,298,301,309,327,354.5,395,443,478.5,495,517,522,521,509,506,504,509,519,514.5,506,509,501,502,502,495,497,482,484,507,552.5,649,784,955,1113,1374,1706,2029,2285,2438,2386,2537,2552,2547,2546.5,2539,2520,2416,2439,2440,2480,2485
"11125",106,140,169,208,241.25,274,283,303,318.25,333,348,360,363,376,381.25,402,429,458,498,526,548.5,568,591,607,611,624,643,664,678,689,690,698,694,699,700.25,704,715,706,711,735,757,838,937,1042,1119,1287,1559,1788,1970,2085.75,2022,2136,2136,2148,2144,2139,2117,2025,2052.75,2072,2088,2104
"21223",103,125,147,176,214,232,239,248,258,268,288,290,294,297,309,326,355,387,431,465,483,499,509,514,502,497,499,504,514,510,508,510,510,513,503,502,509,503,504,521,564,658,789,936,1102,1341,1692,2000,2271,2439,2411,2563,2576,2575,2585,2574,2540,2438,2447,2469,2488,2512
"21112",105,132,162.5,198,241,270,281,302,312,337,355,366.5,374,373,383,412,438,468,512,541,567,588,608,622,631,644,653,670,690,690,694,706,708,710,716.5,719,727,720,727,754,776,859,959,1080,1167.5,1345,1628,1878,2069,2176,2113,2240,2241.5,2250,2243,2251,2212,2133,2135,2148.5,2170,2195
"22126",95,112,133,155,186,206,208,213,215,229,232,238,242,243,252,268.25,294,331,376,411,434,452,459.25,455,443,439,440,449,452,446,442,445,436,428,424,420,416,402,402,418.25,463,568,713,872.25,1060.25,1344,1710,2034,2305,2470,2422,2574,2589.25,2587,2575,2583,2535,2439,2457,2469,2493,2502.75
"22214",93,113,134,158,183,205,207,216,217,221,229,235,236,237,247,272,301,354,415,462,479,503,502,485,454,434,424,426,420,418,407,408,399,392,378,379,374,362,361,381,433,561,766,975,1177,1497,1947,2363,2702,2901,2864,3065,3073,3073,3065,3072,3051,2928,2936,2976,3023,3044
"32121",89,115,138.5,165,200,221,230,247,256,272,284,298,303,307,316,334,365,395,434.5,470,493,520,541,561,576.5,587,602,621.5,638,641,643,651,648,648,650.5,655,654,643,635,660,709,808,908,1008,1092,1247,1413,1545,1660,1720,1674,1767.5,1773,1790,1791,1785,1767.5,1725,1737,1734,1756,1762
"32213",87,109,132,155,182,208,213.25,225.25,225,233,238.25,244,255,253,267,291,327,393,454,499,523,546.25,552.25,537,500,471,456,447,448,438,427,423,412,399,384,376,369,352.5,343,366,451.25,612,843.75,1037,1285,1640,2110,2567,2934,3142,3097,3312,3326,3312,3317,3309,3273,3154,3177,3180,3218.75,3234.5
"31215",88,111,134,163,204,227,242,256,272,285,300,317,319,328,334,359.25,392,432,479,518,544,569,576,581,565,563,565,574.25,580,580,568,580,573,565,555,562,555,542,547.25,567,620,728,868,1031,1192,1444,1793,2138,2420,2600,2559,2730,2741,2744,2737,2745.25,2706,2597,2604,2623,2647.5,2663
"31123",90,122,149.5,187,232,261,281,309,328,347.5,367,387.5,386,391,404,425,453,486,534.5,565,589.5,619,646.5,664,674.5,685,695,715,737,727,734.5,742,732.5,740,720,730,730,730,728.5,756,778,852,971,1057,1152,1369,1663,1929,2130,2218,2199,2322.5,2324,2330,2327,2323,2297,2202.5,2224,2236,2260,2279
